objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","146338633","7.94927","8.07426","2.2271","24","187497","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","147498439","7.62317","7.99483","2.309","0","52008","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Architects","346703","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","146338387","6.76887","7.03277","1.3862","812","20704","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End: War Eternal","218417","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146533213","7.45837","8.22266","2.9261","152","15131","thing","Aeon's End: War Eternal","1","4","60","60","60","2017","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agent Avenue","422732","6.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","146338487","7.00245","7.51299","1.2108","510","14924","thing","Agent Avenue","2","4","20","20","10","2024","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs","359871","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","148512444","7.5926","7.98429","3.4464","101","31594","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Bomb Busters","413246","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","146338284","7.65283","8.03178","2.0078","84","30285","thing","Bomb Busters","2","5","30","30","30","2024","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146349773","8.3902","8.55946","3.8609","1","86542","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","146384955","7.24507","7.53054","1.5125","270","31982","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank!: A Deck-Building Adventure","201808","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","148303689","7.59131","7.75824","2.2329","103","63051","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames","178900","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","146338650","7.42663","7.52294","1.2523","163","183843","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","146338657","7.23225","7.40505","1.3605","278","57445","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Coffee Rush","377061","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","149585530","6.54716","7.0839","1.7962","1224","13088","thing","Coffee Rush","2","4","30","30","30","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146338639","7.80059","8.03654","2.0557","45","53572","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"La Cuenta","437581","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","147239744","6.09495","7.38389","1.129","2702","2899","thing","La Cuenta","3","8","15","15","5","2025","4,5,6,7,8","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cyclades: Legendary Edition","380619","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","149677403","6.9402","8.10843","2.8269","577","7403","thing","Cyclades: Legendary Edition","2","6","90","90","60","2024","3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dorfromantik: Sakura","424774","9","10","0","1","0","0","0","0","0","0","0","3","","","","","","146627617","6.59368","7.99709","1.92","1127","6240","thing","Dorfromantik: Sakura","1","6","90","90","30","2024","1,2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium","316554","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146442491","8.21766","8.40608","3.08","6","79717","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium – Rise of Ix","342031","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","149319476","8.09353","8.79706","3.2344","0","29764","thing","Dune: Imperium – Rise of Ix","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Everdell","199792","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","146340189","7.79851","7.97356","2.8348","46","108262","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell: Newleaf","332390","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","148512458","6.9881","8.50583","3.0943","0","12263","thing","Everdell: Newleaf","1","4","100","100","40","2022","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Everdell: Spirecrest","289056","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","149585483","7.21922","8.26329","3.0722","0","16071","thing","Everdell: Spirecrest","1","4","100","100","40","2020","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"EXIT: The Game – The Mysterious Museum","244918","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146339878","6.35274","7.07253","2.1277","1723","5609","thing","EXIT: The Game – The Mysterious Museum","1","4","90","90","45","2018","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Pharaoh's Tomb","203416","0","0","0","1","0","0","0","1","0","0","0","3","","","","","","146338670","6.71311","7.12398","2.7273","898","12836","thing","EXIT: The Game – The Pharaoh's Tomb","1","6","90","90","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"EXIT: The Game – The Secret Lab","203417","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","146338666","6.65618","7.03669","2.5217","1000","12812","thing","EXIT: The Game – The Secret Lab","1","6","150","150","45","2016","1,2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Faraway","385761","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","147637749","7.27332","7.53766","1.9449","254","34453","thing","Faraway","2","6","25","25","25","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
